Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1389082523536330752,efisema pulmonar,115,131,MISC,0.9999
1389082536572301315,cartayabarry,4,16,ORG,0.4881
1389082536572301315,duque,18,23,PER,0.9999
1389082536572301315,colombia,48,56,LOC,1.0
1389082536815513600,normyld,4,11,ORG,0.6752
1389082536891060225,trumperizar,4,15,PER,0.9936
1389082537205579778,camilovicenteov,4,19,PER,0.9998
1389082537205579778,colombia,34,42,LOC,1.0
1389082537205579778,paul,53,57,PER,0.9699
1389082537205579778,ibagué,64,70,LOC,1.0
1389082539101458432,facu,4,8,ORG,0.995
1389082539101458432,ortiz2001,9,18,PER,0.5327
1389082539709456388,everest,29,36,LOC,0.996
1389082540695343105,covid-19,36,44,MISC,0.9996
1389082540695343105,panamá,88,94,LOC,1.0
1389082540695343105,covid19,144,151,MISC,0.9972
1389082540720410628,delcy rodríguez,9,24,PER,0.9999
1389082540762402816,covid19,36,43,MISC,0.9995
1389082540762402816,carlosvelazquez,186,201,PER,0.5846
1389082540816752640,covid19,17,24,MISC,0.9999
1389082540816752640,liga de bielorrusia,29,48,ORG,0.9998
1389082540816752640,notimex,137,144,ORG,0.9999
1389082540816752640,xeudeportes,161,172,ORG,0.9929
1389082540816752640,yoconnotimex,174,186,MISC,0.9943
1389082545028009984,carolinacorcho,4,18,PER,0.9987
1389082545028009984,covid,115,120,MISC,0.9405
1389082545954955264,esemejia,15,23,PER,0.9991
1389082547427188736,adela,4,9,PER,0.9381
1389082547427188736,micha,10,15,PER,0.9995
1389082550899982337,ella,1,5,PER,0.9841
1389082553043361798,milenio,4,11,ORG,0.9974
1389082553043361798,miami beach,37,48,LOC,0.999
1389082553148190728,antonietagg,4,15,PER,0.6841
1389082553148190728,serviciopúblico,17,32,MISC,0.9845
1389082553148190728,ciudad bolívar,92,106,LOC,0.9999
1389082553148190728,covid19,111,118,ORG,0.9977
1389082553747972100,comunicando en servicios sociales,11,44,MISC,0.9997
1389082553747972100,copesaeduso,81,92,ORG,0.9989
1389082553747972100,acontraelhambre,94,109,ORG,0.9995
1389082554368552962,hlgatell,4,12,ORG,0.9999
1389082554368552962,covid19,84,91,MISC,0.9999
1389082554368552962,méxico,96,102,LOC,1.0
1389082555576619008,policiastander,4,18,ORG,0.9903
1389082555576619008,esunhonorserpolicía,20,39,MISC,0.9993
1389082555576619008,covi,134,138,MISC,0.9995
1389082556251967488,northern,4,12,ORG,0.5201
1389082556251967488,wolve,13,18,ORG,0.6976
1389082556251967488,colombia,98,106,LOC,1.0
1389082558747525120,covid-19,115,123,MISC,0.9998
1389082558839799808,el,4,6,ORG,0.9991
1389082558839799808,willywonka,7,17,PER,0.642
1389082558839799808,covid,23,28,PER,0.9953
1389082558839799808,colombia,56,64,LOC,0.9992
1389082560387555332,selenat0rsarmy,4,18,MISC,0.4234
1389082560387555332,selena gomez,20,32,PER,0.9991
1389082560387555332,vaxlive,68,75,ORG,0.9999
1389082560387555332,covid-19,127,135,MISC,0.9999
1389082561666748420,covid,41,46,MISC,0.9999
1389082561666748420,iatrogenia,77,87,MISC,0.9999
1389082561666748420,belén,181,186,LOC,1.0
1389082568348348416,tonitrilla,4,14,PER,0.9943
1389082568348348416,india,32,37,LOC,1.0
1389082568348348416,covid-19,52,60,MISC,0.9999
1389082568725782530,sannmontenegro,4,18,ORG,0.9683
1389082568725782530,covid 19,97,105,MISC,0.9999
1389082570164477953,noticieroslv,4,16,ORG,0.9938
1389082570164477953,ministro,21,29,PER,0.9589
1389082570164477953,saludsv,34,41,MISC,0.9176
1389082570164477953,franalabi,44,53,PER,0.5247
1389082570164477953,san josé vill,126,139,LOC,0.9999
1389082572165193728,jesusfamilex,4,16,ORG,0.3753
1389082572165193728,vlex,66,70,ORG,0.9993
1389082572165193728,eugenia gay,100,111,PER,0.9996
1389082574614564864,policiastander,4,18,ORG,0.9933
1389082574614564864,esunhonorserpolicía,20,39,MISC,0.9988
1389082574614564864,cov,134,137,MISC,0.9993
1389082575923208197,miami beach,16,27,ORG,0.9998
1389082575923208197,covid-19,58,66,MISC,0.9997
1389082575923208197,johnson &amp; johnson,112,133,MISC,0.9981
1389082576619442176,india,50,55,LOC,1.0
1389082576619442176,covid,115,120,MISC,0.9998
1389082579538751489,ibero909fm,4,14,ORG,0.9503
1389082579538751489,lasmásleídas ibero909,16,37,MISC,0.9999
1389082579538751489,covid-19,78,86,MISC,0.9997
1389082584546783232,contragodarria,4,18,ORG,0.997
1389082585364672516,jarizabaletaf,4,17,PER,0.4462
1389082585364672516,cali,19,23,LOC,1.0
1389082585989591040,drpacomoreno1,4,17,PER,0.9992
1389082586383753216,expansionmx,4,15,ORG,0.9927
1389082586383753216,delasemana,17,27,ORG,0.9975
1389082586383753216,covid19,118,125,MISC,0.9999
1389082587289853956,rcachanosky,4,15,PER,0.882
1389082587289853956,vip,69,72,MISC,0.7534
1389082588187439105,madrid,59,65,LOC,1.0
1389082588187439105,covid19,101,108,MISC,0.9996
1389082593925206019,covid,6,11,PER,0.7858
1389082595636518914,industria laboratorios,0,22,ORG,0.9998
1389082595636518914,rovi,24,28,ORG,0.9796
1389082595636518914,ir,29,31,MISC,0.9592
1389082595636518914,covid-19 de moderna,100,119,MISC,0.9947
1389082597590982659,india,3,8,LOC,0.9999
1389082597590982659,covid-19,45,53,MISC,0.53
1389082599440756738,anser0503,4,13,ORG,0.8571
1389082600061407233,laks,4,8,PER,0.4982
1389082600061407233,mych,9,13,MISC,0.6435
1389082600061407233,covid,28,33,MISC,0.9998
1389082607485394948,luisarm28147370,4,19,PER,0.9994
1389082607485394948,lopezobrador,43,55,PER,0.6496
1389082617245487108,gobcdmx,4,11,ORG,0.9948
1389082617245487108,jefadegobierno,38,52,PER,0.9892
1389082617245487108,programa nacional de vacunación,62,93,MISC,0.9997
1389082617245487108,covid19,101,108,MISC,0.9998
1389082617245487108,ciudad de méxico,115,131,LOC,1.0
1389082649193558016,donadolforivas,4,18,ORG,0.8766
1389082649193558016,cedritos,72,80,LOC,1.0
1389082651311714306,emergenxyphysic,4,19,ORG,0.9996
1389082651311714306,tac,40,43,MISC,0.9082
1389082651311714306,pcr,56,59,MISC,0.9924
1389082651311714306,covid19,76,83,MISC,0.9998
1389082653966602242,el,4,6,ORG,0.9991
1389082653966602242,willywonka,7,17,PER,0.642
1389082653966602242,covid,23,28,PER,0.9953
1389082653966602242,colombia,56,64,LOC,0.9992
1389082658534273024,claudialopez,163,175,PER,0.9797
1389082668076343301,claudialopez,67,79,PER,0.9956
1389082668231503877,tebuscamos ariana corona victoria,0,33,MISC,0.9975
1389082668231503877,capu puebla,57,68,LOC,0.9982
1389082668231503877,feliparamrez1,74,87,PER,0.9989
1389082675147857920,covid,56,61,MISC,0.9952
1389082690020777985,san luis,4,12,PER,0.7548
1389082696136134656,rsumen,4,10,ORG,0.4532
1389082696136134656,informe epidemiológico n° 116,15,44,MISC,0.9999
1389082696136134656,deis,49,53,ORG,0.9999
1389082696136134656,informe semanal de defunciones,85,115,MISC,1.0
1389082703115563010,lehijueputx,4,15,PER,0.4577
1389082703115563010,claudia,28,35,PER,0.9937
1389082703115563010,alcaldesa,82,91,MISC,0.7702
1389082704747143168,ccdinarte2010,4,17,ORG,0.3981
1389082704747143168,wuhan,47,52,LOC,1.0
1389082707108433921,ssalud,4,10,ORG,0.9992
1389082707108433921,vacunas,19,26,MISC,0.6142
1389082707108433921,covid19,34,41,MISC,0.9999
1389082712212922369,edwingroman14,4,17,PER,0.9989
1389082712212922369,nicaragua,39,48,LOC,1.0
1389082712212922369,covid19,78,85,MISC,0.9995
1389082714708619265,alejandrozelay9,4,19,PER,0.9998
1389082714708619265,el salvador,45,56,LOC,0.9994
1389082714708619265,🇸🇻,57,59,LOC,0.9802
1389082714792464386,joely2050,4,13,PER,0.9961
1389082714985349121,porunchiledigno,4,19,MISC,0.3644
1389082717753597954,donadolforivas,4,18,ORG,0.8766
1389082717753597954,cedritos,72,80,LOC,1.0
1389082723575336961,guadavazquez,4,16,PER,0.976
1389082723575336961,ezeiza,95,101,LOC,1.0
1389082723575336961,labpax,103,109,ORG,0.9997
1389082723575336961,covid,134,139,MISC,0.6476
1389082723734675459,vader,4,9,PER,0.978
1389082723734675459,lordvader,10,19,PER,0.8936
1389082723734675459,pdh,49,52,ORG,0.9999
1389082723734675459,jordanrodas,54,65,ORG,0.9987
1389082723734675459,estado de resultados,82,102,MISC,0.9997
1389082723734675459,congresoguate,122,135,ORG,0.985
1389082726079377409,ramonfonsecamor,1,16,PER,0.7438
1389082726079377409,tv,55,57,MISC,0.9746
1389082726079377409,covid-19,114,122,MISC,0.9999
1389082729313193984,matiasnigro3,4,16,PER,0.8966
1389082729313193984,racing,18,24,ORG,0.9996
1389082729313193984,san lorenzo,126,137,ORG,0.9999
1389082729359323138,ssalud,4,10,ORG,0.9984
1389082729359323138,vacunas,71,78,MISC,0.9952
1389082729359323138,covid19,86,93,MISC,0.9999
1389082731766759426,apufatucv,4,13,ORG,0.6579
1389082731766759426,serviciopublico,15,30,ORG,0.5434
1389082731766759426,ucv,79,82,ORG,0.9999
1389082731766759426,trabajosocialtk,94,109,MISC,0.8065
1389082731766759426,efectococuyo,112,124,MISC,0.9931
1389082731766759426,provea,128,134,ORG,0.9996
1389082731766759426,c,137,138,ORG,0.9484
1389082732660248576,margaritamagica,4,19,ORG,0.9951
1389082732660248576,covid 19,33,41,MISC,0.9999
1389082732660248576,valencia-carabobo,83,100,LOC,1.0
1389082732660248576,2001online,104,114,ORG,0.4807
1389082732660248576,luisanac16,116,126,MISC,0.5661
1389082732660248576,carabobe,131,139,LOC,0.9192
1389082738477649920,el,4,6,ORG,0.9991
1389082738477649920,willywonka,7,17,PER,0.642
1389082738477649920,covid,23,28,PER,0.9953
1389082738477649920,colombia,56,64,LOC,0.9992
1389082743343095814,monicacorrales,4,18,ORG,0.3126
1389082745289248768,covid19,42,49,MISC,0.9999
1389082745289248768,saltillo,144,152,LOC,0.9999
1389082745486331906,sharonspcm,4,14,PER,0.7635
1389082745486331906,covid,38,43,MISC,0.9999
1389082745486331906,san luis potosí,61,76,LOC,0.9999
1389082749252870146,uribe turbay,116,128,PER,0.9999
1389082749252870146,covid 19,193,201,MISC,0.9998
1389082751794569220,covid19,75,82,MISC,0.9999
1389082752302030848,jcarlosmdzx,1,12,PER,0.543
1389082752302030848,cordova,14,21,ORG,0.7884
1389082752302030848,covid,88,93,ORG,0.9999
1389082762242580482,davocius,4,12,PER,0.9998
1389082764490809344,marianamerlo,4,16,PER,0.9984
1389082764625031175,luxaeternaak47,4,18,PER,0.9776
1389082776062763008,ferdoval,4,12,ORG,0.9173
1389082776931086339,donadolforivas,4,18,ORG,0.8766
1389082776931086339,cedritos,72,80,LOC,1.0
