Tweet_ID,Mentions
1439529699458256898,@Kchartsofflcial
1439529699793846272,@DikshaMunjal6
1439529700313894919,@Kchartsofflcial
1439529700477620224,@IndigoFast
1439529700787990528,@petertomasi1
1439529700787990528,@APearlBird
1439529700938772480,@sophiescanlon01
1439529701286952961,@EgosShadow7
1439529701773438978,@GreenIslandArt
1439529701773438978,@ukphotoshow
1439529702314717185,@AmbienteGnb
1439529702314717185,@GNBCmdteGral
1439529702314717185,@McCalderonL
1439529702797062144,@ottovdgalien
1439529702797062144,@hugodejonge
1439529702897553410,@RobSchneider
1439529703275180037,@healthza
1439529704499789831,@Kchartsofflcial
1439529705254711301,@DKMaximus
1439529705376464899,@GlobalBlackPink
1439529705376464899,@BLACKPINK
1439529705611399169,@theJeremyVine
1439529705753890816,@IbarakiKouhou
1439529705783246853,@trishaobannon
1439529706072600576,@DrEricLevi
1439529706106376192,@saaheneasiamah
1439529706135724037,@palodanjali
1439529707377156098,@aletweetsnews
1439529707431763968,@JuliaHB1
1439529707540676610,@amamedia
1439529707540676610,@amapresident
1439529707628810243,@Priyanka101
1439529708270534657,@landbote
1439529708832493573,@KaylarWill
1439529710682247168,@AstroCounselVik
1439529710967480324,@business
1439529711026147333,@marcdaalder
1439529711596720128,@apostagem
1439529711709818882,@ariesIili
1439529711735119878,@koreanforeigner
1439529711735119878,@EmmanuelMacron
1439529712540393475,@joncoopertweets
1439529712867368960,@Nadesh90021
1439529713173610497,@EgosShadow7
1439529713291124739,@aletweetsnews
1439529713446178816,@EgosShadow7
1439529713899384837,@DmCmasterson
1439529713899384837,@LozzaFox
1439529714075508738,@antonio790602
1439529714121588737,@batsmurdock
1439529714150936578,@BebeaHope
1439529715203780610,@jaimeraulmolina
1439529715409195012,@Kells8681
1439529716398968833,@ultschls
1439529716751519745,@Kchartsofflcial
1439529717116203009,@attygideon
1439529718022217728,@AussieVal10
1439529718622015495,@fkadeya
1439529719767076864,@MingYLong
1439529720224288772,@EgosShadow7
1439529720429875200,@simsy1977
1439529721038049280,@DrEricDing
1439529721126064133,@EddyBernayz
1439529721843404806,@JubaJobo
1439529722279567363,@GandolfoDomini1
1439529722380046336,@Kchartsofflcial
1439529722426314755,@memexpropriados
1439529722766000138,@Kchartsofflcial
1439529724309499904,@ilybilgsorry
1439529724439531530,@ZeeNews
1439529724439531530,@bramhprakash7
1439529724439531530,@ombirlakota
1439529724749901824,@JPAlipio
1439529725001494535,@AnbilMahesh
1439529725001494535,@mkstalin
1439529725152534538,@cybsquad
1439529725530099713,@manfredr
1439529726389915650,@vladimircavlov1
1439529726578671616,@GabrielScally
1439529726624817154,@HalseyJane
1439529727127998464,@Mhannwella
1439529727941808131,@TWIScience
1439529728885547012,@ohikulkija1
1439529729162289152,@nzherald
1439529729162289152,@jacindaardern
1439529729191600136,@AGJKLS1
1439529729405722625,@AsterBerghe
1439529729850286080,@ygentofficial
1439529729938403328,@mentaldailycom
1439529730651217922,@123itsmeMary
1439529731615903744,@fIeurlalisa
1439529732853407746,@PiotrSchramm
1439529733335703552,@LittletonRdRace
1439529733352398848,@Mhannwella
1439529734099009541,@GlobalBlackPink
1439529734099009541,@BLACKPINK
1439529734304587779,@JuliaHB1
1439529734304587779,@ForemanNorman2
1439529734430330884,@EgosShadow7
1439529736909344770,@metpoliceuk
1439529737882423297,@BillFOXLA
1439529737882423297,@HawleyMO
1439529737882423297,@FoxNews
1439529737978843140,@Mhannwella
1439529738599497730,@EgosShadow7
1439529739127951360,@formerlyashley
1439529739241209863,@EgosShadow7
1439529739270586370,@fIeurlalisa
1439529740277272578,@johnpavlovitz
1439529740805804032,@erikpjverweij
1439529741300604935,@Nadesh90021
1439529741372076032,@ProfSFindik
1439529741929881601,@65virna
1439529741938216961,@Tsipora777
1439529743351697413,@BSanturbano
1439529743351697413,@chiaraped
1439529743351697413,@Musso
1439529744362471427,@EgosShadow7
1439529746014953478,@fIeurlalisa
1439529746182901762,@NewsReputation
1439529746786918407,@PruvodcevNegevu
1439529747264901122,@Covid19Place
1439529747264901122,@Khairykj
1439529747264901122,@DGHisham
1439529747298623489,@datchmog
1439529747298623489,@bbcnews
1439529747978014720,@BaltBizOnline
1439529747978014720,@HowardHughesCo
1439529748191801350,@EgosShadow7
1439529748699357191,@Kchartsofflcial
1439529748758085634,@SParnis
1439529749102092289,@Benjfent13
1439529749102092289,@seanym007
1439529749102092289,@JP1872
1439529749102092289,@toryboypierce
1439529749102092289,@bbcstrictly
1439529749102092289,@covid
1439529749450158085,@jamaisvusubunit
1439529749919899648,@Mhannwella
1439529750234472451,@EgosShadow7
1439529750310100993,@SueEllentje
1439529750591152129,@RFeuerbach
1439529751417290760,@Mhannwella
1439529751648129026,@petemorristwit
1439529751798947843,@NJets1969
1439529751798947843,@ellymelly
1439529751798947843,@DanielAndrewsMP
1439529751798947843,@DanielAndrewsMP
1439529753086763015,@veroniquegenest
1439529753090789380,@DrEricDing
1439529753447309316,@TomRed43
1439529753623605249,@EgosShadow7
1439529753862500352,@susierosedalton
1439529754235920384,@JohnSer58907490
1439529755599155201,@KaylarWill
1439529755636867073,@NOS
1439529756161044485,@Mhannwella
1439529756534378502,@formerlyashley
1439529756567871492,@Mhannwella
1439529756626665475,@educationgovuk
1439529757503197184,@LheyaSB
1439529757616447495,@kickitlisax
1439529758040133637,@Arwenstar
